id,name,address,industry,founded_date
1,TechStart Solutions,123 Innovation Dr Boston MA 02115,Technology,2018-03-15
2,Global Consulting Group,456 Business Ave New York NY 10001,Consulting,2015-07-22
3,HealthCare Plus,789 Medical Blvd Chicago IL 60601,Healthcare,2010-11-30
4,Finance Pro LLC,321 Wall Street New York NY 10005,Finance,2012-05-18
5,Retail World Inc,555 Shopping Plaza Los Angeles CA 90001,Retail,2016-09-10
6,Manufacturing Co,888 Factory Road Detroit MI 48201,Manufacturing,2008-02-14
7,Education First,999 Campus Drive Cambridge MA 02138,Education,2019-01-20
8,Green Energy Solutions,111 Sustainable Way San Francisco CA 94102,Energy,2017-06-05
9,Legal Partners LLP,222 Justice Lane Washington DC 20001,Legal Services,2013-08-12
10,Marketing Maven Agency,333 Creative Blvd Austin TX 78701,Marketing,2020-04-25
11,Restaurant Ventures,444 Culinary Street Seattle WA 98101,Food Services,2014-10-08
12,Software Innovations,666 Code Avenue San Jose CA 95101,Technology,2011-12-01
13,Construction Builders,777 Build Road Phoenix AZ 85001,Construction,2009-03-28
14,Insurance Protect,888 Safety Drive Miami FL 33101,Insurance,2015-11-15
15,Transport Logistics,999 Highway Blvd Dallas TX 75201,Transportation,2016-07-19